"","WBID","name","mine_query","mine_noise_risk"
"146","GB106039030280","Shill Brook and Tributaries","Shill Brook","medium/low"
"147","GB106039030470","Dikler (Wyck Rissington to Windrush) and Lower Eye","","medium/low"
"148","GB106039030450","Hazelford and Coombe Brook","Hazelford Brook OR Coombe Brook","medium/low"
"149","GB106039030232","Broadwell Brook","Broadwell Brook","medium/low"
"150","GB106039037450","Eye (Source to Dikler)","","medium/low"
"151","GB106039023770","Wadley Stream (Source to Thames at Duxford)","","medium/low"
"152","GB106039030460","Sherbourne Brook","Sherbourne Brook","medium/low"
"153","GB106039037440","Slade Barn Stream (Source to Windrush)","","medium/low"
"154","GB106039030231","Radcot Cut","Radcot Cut","medium/low"
"155","GB30641011","Farmoor Reservoir","Farmoor Reservoir","medium/low"
"156","GB106039030210","Filchhampstead Brook at Farmoor","Filchhampstead Brook","medium/low"
"157","GB106039030310","Chil and Limb Brooks (source to B4044)","","medium/low"
"158","GB106039037470","Dikler (Source to Wyck Rissington)","","medium/low"
"159","GB106039030480","Windrush (Slade Barn Stream to Dikler)","","medium/low"
"160","GB106039023550","Chalvey Ditches","Chalvey Ditches","medium/low"
"161","GB106039023231","Thames (Cookham to Egham)","","medium/low"
"162","GB106039023232","Thames (Egham to Teddington)","","medium/low"
"163","GB106039023440","Cut (Ascot to Bull Brook confluence at Warfield)","","medium/low"
"164","GB30642430","Wraysbury Lake","Wraysbury Lake","medium/low"
"165","GB106039023520","Datchet Common Brook","Datchet Common Brook","medium/low"
"166","GB106039017670","Bull Brook","Bull Brook","medium/low"
"167","GB106039023540","Roundmoor Ditch and Boveney Ditch","Roundmoor Ditch OR Boveney Ditch","medium/low"
"168","GB106039017660","Cut at west Bracknell","River Cut","medium/low"
"169","GB106039017680","Cut (Warfield to north Bracknell)","","medium/low"
"170","GB30642791","Knight Reservoir","Knight Reservoir","medium/low"
"171","GB106039023530","Salthill Stream","Salthill Stream","medium/low"
"172","GB106039023511","Maidenhead Ditch","Maidenhead Ditch","medium/low"
"173","GB106039023510","Cut (Binfield to River Thames confluence) and Maidenhead Ditch","","medium/low"
"174","GB30642779","Bessborough Reservoir","Bessborough Reservoir","medium/low"
"175","GB30642757","Englemere Pond","Englemere Pond","medium/low"
"176","GB30647022","Littleworth Ponds","","medium/low"
"177","GB106038040120","Quin","Quin","medium/low"
"178","GB106038033270","Mimram (Codicote Bottom to Lee)","","medium/low"
"179","GB106038040110","Beane (Source to Stevenage Brook)","","medium/low"
"180","GB106038033330","Great Hallingbury Brook","Great Hallingbury Brook","medium/low"
"181","GB106038033460","Mimram (Whitwell to Codicote Bottom)","","medium/low"
"182","GB106038033380","Pincey Brook","Pincey Brook","medium/low"
"183","GB106038040140","Rib (upper stretches, above confluence with the Quin)","","medium/low"
"184","GB106038033392","Lee (from Luton Hoo Lakes to Hertford)","","medium/low"
"185","GB106038033281","Stort and Navigation, B Stortford to Harlow","","medium/low"
"186","GB106038040090","Stanstead Brook","Stanstead Brook","medium/low"
"187","GB106038033282","Stort and Navigation, Harlow to Lee","","medium/low"
"188","GB106038033240","Lee Navigation (Hertford to Fieldes Weir)","","medium/low"
"189","GB106038033260","Fiddlers Brook","Fiddlers Brook","medium/low"
"190","GB106038033340","Stort and Bourne Brook","Stort Brook OR Bourne Brook","medium/low"
"191","GB106038033360","Rib (from confluence with Quin to Lee Navigation)","","medium/low"
"192","GB106038040100","Ash (from Meesden to confluence with Bury Green Brook)","","medium/low"
"193","GB106038033410","Stevenage Brook","Stevenage Brook","medium/low"
"194","GB106038040130","Stort (at Clavering)","","medium/low"
"195","GB106038033391","Lee (from Luton to Luton Hoo Lakes)","","medium/low"
"196","GB106038033290","Ash (from confluence with Bury Green Brook to Lee)","","medium/low"
"197","GB106038033220","Cannons Brook","Cannons Brook","medium/low"
"198","GB106038033310","Beane (from confluence with Stevenage Brook to Lee)","","medium/low"
"199","GB106038033250","Little Hallingbury Brook","Little Hallingbury Brook","medium/low"
"200","GB40602G601700","Old Basing Tertiaries","Old Basing Tertiaries","medium/low"
"201","GB40602G602500","Greenwich Tertiaries and Chalk","Greenwich Tertiaries OR Greenwhich Chalk","medium/low"
"202","GB40602G401000","South Essex Lower London Tertiaries","","medium/low"
"203","GB40601G601100","South-West Chilterns Chalk","","medium/low"
"204","GB40601G501800","West Kent Darent and Cray Chalk","West Kent Darent OR Cray Chalk","medium/low"
"205","GB40601G600400","Burford Jurassic","Burford Jurassic","medium/low"
"206","GB40601G604100","Chiltern Chalk Scarp","Chiltern Chalk Scarp","medium/low"
"207","GB40601G604400","Alton Chalk","","medium/low"
"208","GB40602G600800","Bicester-Otmoor Cornbrash","","medium/low"
"209","GB40602G500200","North Kent Tertiaries","North Kent Tertiaries","medium/low"
"210","GB40601G501700","North Kent Swale Chalk","North Kent Swale Chalk","medium/low"
"211","GB40602G601400","Chobham Bagshot Beds","Chobham Bagshot Beds","medium/low"
"212","GB40602G601300","Farnborough Bagshot Beds","","medium/low"
"213","GB40602G502300","Kent Weald Western - Medway","","medium/low"
"214","GB40602G602400","Copthorne Tunbridge Wells Sands","","medium/low"
"215","GB40601G604300","Guildford Chalk","Guildford Chalk","medium/low"
"216","GB40602G601800","Effingham Tertiaries","","medium/low"
