WBID,name,mine_query
GB40603G000300,Lower Thames Gravels,Lower Thames Gravels river
GB40601G603100,Tackley river,tackley river
GB40601G600900,Berkshire Downs Chalk,Berkshire Downs Chalk stream
GB40602G601600,Thatcham river,thatcham river
GB40601G500400,Kent Greensand Middle,Kent Greensand Middle river
GB40601G500500,Kent Greensand Western,Kent Greensand Western river
GB40602G604200,Byfield river,byfield river
GB40601G602000,Reigate Lower Greensand,Reigate Lower Greensand river
GB40602G600300,Chipping Norton river,Chipping Norton river
GB40601G601000,Vale of White Horse Chalk,Vale of White Horse Chalk
GB40601G601900,Godalming Lower Greensand,Godalming Lower Greensand
GB40601G500300,North Kent Medway Chalk,North Kent Medway Chalk stream
GB40602G602700,Twyford river,Twyford river river
GB40601G602100,Dorking North Downs Chalk,Dorking North Downs Chalk stream
GB40601G602200,Epsom North Downs Chalk,Epsom North Downs Chalk stream
GB40603G000200,Upper Thames Gravels,Upper Thames Gravels river
GB106039037290,Farthinghoe Stream (Source to Cherwell) and tributaries,farthinghoe stream
GB106039037340,Hanwell Brook,Hanwell Brook
GB106039037240,Bloxham Brook (Source to Sor Brook),bloxham brook
GB106039042650,Cherwell (Source to Trafford Bridge),river cherwell OR trafford bridge river
GB106039029780,Bayswater Brook,Bayswater Brook
GB106039037320,Sor Brook (Source to Broughton),sor brook OR broughton river
GB106039037190,Deddington Brook (Source to Cherwell),deddington brook
GB106039037200,Upper Swere (Source to Wigginton),swere river
GB106039037310,Cherwell (Cropredy to Nell Bridge),river cherwell OR river cropredy OR nell bridge river
GB106039037260,Sor Brook  (Broughton to Cherwell),sor brook
GB106039037360,Ashby Brook (Source to Cherwell),ashby brook
GB106039037370,"Clayton and Wormleighton Brook, Source to Highfurlong Brook ",clayton brook OR wormleighton brook
GB106039029800,Cherwell (Ray to Thames) and Woodeaton Brook,river cherwell OR woodeaton brook
GB106039037270,Tadmarton Stream (Source to Sor Brook),tadmarton stream
GB106039037220,Swere (Wigginton to Cherwell),river swere OR river wiggington
GB106039042660,Highfurlong Brook (to Cherwell),highfurlongton brook
GB106039037350,Cherwell (Ashby Brook to Cropredy),river cherwell OR river cropredy
GB106039037210,Hook Norton Brook (Source to Swere),hook norton brook
GB30639472,Grimsbury Reservoir,Grimsbury Reservoir
GB106039037280,Chacombe Brook (Source to Cherwell),chacombe brook
GB106039037230,Ockley Brook and Croughton Brook (Source to Cherwell),ockley brook OR croughton brook
GB106039037431,Cherwell (Nell Bridge to Bletchingdon),river cherwell OR nell bridge river OR bletchingdon river
GB106039037300,Shutford Stream (Source to Sor Brook),shutford stream
GB106039037432,Cherwell (Bletchingdon to Ray),river cherwell OR river bletchingdon
GB106039030070,"Tetchwick Brook, Source to Ray and tribs ",tetchwick brook
